region,text_type,source,ttr,unique_ratio,hapax_ratio,avg_freq,n_words,n_unique
не определён,corpus,opencorpora,0.684,0.759,0.822,1.32,215,147
не определён,corpus,opencorpora,0.634,0.699,0.734,1.43,145,92
не определён,corpus,opencorpora,0.848,0.912,0.919,1.1,79,67
не определён,corpus,opencorpora,0.6,0.72,0.791,1.39,438,263
не определён,corpus,opencorpora,0.693,0.771,0.812,1.3,114,79
не определён,corpus,opencorpora,0.691,0.779,0.773,1.28,149,103
не определён,corpus,opencorpora,0.607,0.703,0.722,1.42,173,105
не определён,corpus,opencorpora,0.756,0.869,0.887,1.15,86,65
не определён,corpus,opencorpora,0.599,0.674,0.681,1.48,177,106
не определён,corpus,opencorpora,0.645,0.735,0.763,1.36,293,189
не определён,corpus,opencorpora,0.488,0.576,0.686,1.74,463,226
не определён,corpus,opencorpora,0.611,0.767,0.846,1.3,442,270
не определён,corpus,opencorpora,0.731,0.756,0.831,1.32,171,125
не определён,corpus,opencorpora,0.651,0.716,0.731,1.4,129,84
не определён,corpus,opencorpora,0.57,0.595,0.745,1.68,93,53
не определён,corpus,opencorpora,0.599,0.648,0.667,1.54,152,91
не определён,corpus,opencorpora,0.838,0.859,0.927,1.16,74,62
не определён,corpus,opencorpora,0.603,0.63,0.74,1.59,267,161
не определён,corpus,opencorpora,0.599,0.705,0.73,1.42,232,139
не определён,corpus,opencorpora,0.532,0.521,0.622,1.92,79,42
не определён,corpus,opencorpora,0.549,0.607,0.741,1.65,246,135
не определён,corpus,opencorpora,0.678,0.745,0.783,1.34,205,139
не определён,corpus,opencorpora,0.671,0.738,0.708,1.35,82,55
не определён,corpus,opencorpora,0.576,0.631,0.732,1.59,165,95
не определён,corpus,opencorpora,0.781,0.778,0.714,1.29,32,25
не определён,corpus,opencorpora,0.647,0.711,0.745,1.41,184,119
не определён,corpus,opencorpora,0.631,0.679,0.667,1.47,111,70
не определён,corpus,opencorpora,0.542,0.584,0.713,1.71,225,122
не определён,corpus,opencorpora,0.872,0.9,0.917,1.11,47,41
не определён,corpus,opencorpora,0.6,0.634,0.688,1.58,130,78
не определён,corpus,opencorpora,0.738,0.75,0.843,1.33,80,59
не определён,corpus,opencorpora,0.647,0.723,0.804,1.38,190,123
не определён,corpus,opencorpora,0.603,0.701,0.825,1.43,426,257
не определён,corpus,opencorpora,0.575,0.639,0.588,1.56,160,92
не определён,corpus,opencorpora,0.771,0.787,0.843,1.27,109,84
не определён,corpus,opencorpora,0.528,0.582,0.674,1.72,197,104
не определён,corpus,opencorpora,0.534,0.647,0.724,1.55,339,181
не определён,corpus,opencorpora,0.595,0.626,0.646,1.6,158,94
не определён,corpus,opencorpora,0.624,0.676,0.781,1.48,178,111
не определён,corpus,opencorpora,0.554,0.596,0.742,1.68,327,181
не определён,corpus,opencorpora,0.525,0.611,0.767,1.64,493,259
не определён,corpus,opencorpora,0.537,0.635,0.727,1.58,410,220
