n_sentences,avg_sent_length,complex_ratio,verb_ratio,noun_ratio,avg_word_length,text_type,region,source
7,24.71,0.29,0.06,0.29,5.34,review,не определён,kaggle_reviews
10,6.0,0.2,0.07,0.3,4.65,review,не определён,kaggle_reviews
1,22.0,1.0,0.14,0.23,3.91,review,не определён,kaggle_reviews
1,30.0,1.0,0.17,0.23,4.33,review,не определён,kaggle_reviews
1,38.0,1.0,0.16,0.26,4.21,review,не определён,kaggle_reviews
1,19.0,1.0,0.11,0.16,4.11,review,не определён,kaggle_reviews
22,11.55,0.82,0.1,0.19,4.55,review,не определён,kaggle_reviews
1,40.0,1.0,0.17,0.17,3.67,review,не определён,kaggle_reviews
6,29.67,0.67,0.12,0.19,3.86,review,не определён,kaggle_reviews
1,29.0,0.0,0.1,0.21,3.93,review,не определён,kaggle_reviews
4,21.0,0.75,0.19,0.12,3.5,review,не определён,kaggle_reviews
3,8.33,0.67,0.08,0.24,3.88,review,не определён,kaggle_reviews
1,33.0,1.0,0.18,0.12,4.76,review,не определён,kaggle_reviews
1,10.0,0.0,0.2,0.2,5.5,review,не определён,kaggle_reviews
1,24.0,1.0,0.0,0.25,4.46,review,не определён,kaggle_reviews
3,3.33,0.0,0.1,0.3,4.7,review,не определён,kaggle_reviews
2,28.5,0.5,0.12,0.19,4.86,review,не определён,kaggle_reviews
1,17.0,1.0,0.18,0.35,4.47,review,не определён,kaggle_reviews
6,6.83,0.67,0.2,0.12,4.59,review,не определён,kaggle_reviews
3,8.67,0.0,0.12,0.23,4.04,review,не определён,kaggle_reviews
5,6.4,0.0,0.09,0.34,5.09,review,не определён,kaggle_reviews
3,14.33,0.0,0.14,0.19,4.49,review,не определён,kaggle_reviews
2,6.5,0.0,0.23,0.31,3.77,review,не определён,kaggle_reviews
1,15.0,1.0,0.27,0.2,4.8,review,не определён,kaggle_reviews
3,5.0,0.33,0.13,0.2,4.73,review,не определён,kaggle_reviews
9,6.67,0.33,0.1,0.27,4.3,review,не определён,kaggle_reviews
2,7.5,0.0,0.13,0.2,4.53,review,не определён,kaggle_reviews
1,14.0,0.0,0.14,0.29,4.64,review,не определён,kaggle_reviews
3,11.33,0.33,0.09,0.26,4.47,review,не определён,kaggle_reviews
1,28.0,1.0,0.14,0.18,3.71,review,не определён,kaggle_reviews
3,8.0,0.0,0.17,0.25,4.21,review,не определён,kaggle_reviews
3,14.33,0.67,0.21,0.23,4.19,review,не определён,kaggle_reviews
1,10.0,1.0,0.1,0.2,5.1,review,не определён,kaggle_reviews
2,7.0,0.0,0.14,0.14,4.57,review,не определён,kaggle_reviews
1,30.0,1.0,0.07,0.2,3.87,review,не определён,kaggle_reviews
4,6.0,0.25,0.21,0.17,4.21,review,не определён,kaggle_reviews
5,5.2,0.2,0.08,0.23,4.15,review,не определён,kaggle_reviews
1,22.0,1.0,0.09,0.27,4.05,review,не определён,kaggle_reviews
1,21.0,0.0,0.14,0.38,4.1,review,не определён,kaggle_reviews
5,16.4,0.8,0.1,0.18,4.2,review,не определён,kaggle_reviews
2,5.5,0.0,0.09,0.18,4.36,review,не определён,kaggle_reviews
1,68.0,1.0,0.13,0.24,4.93,review,не определён,kaggle_reviews
4,5.75,0.5,0.22,0.26,3.83,review,не определён,kaggle_reviews
14,14.29,0.71,0.15,0.18,4.77,review,не определён,kaggle_reviews
1,15.0,0.0,0.0,0.2,5.47,review,не определён,kaggle_reviews
5,5.8,0.2,0.07,0.24,4.07,review,не определён,kaggle_reviews
8,5.75,0.25,0.09,0.22,4.09,review,не определён,kaggle_reviews
6,8.83,0.5,0.13,0.28,4.58,review,не определён,kaggle_reviews
4,5.0,0.0,0.15,0.15,4.25,review,не определён,kaggle_reviews
4,8.25,0.5,0.18,0.15,4.79,review,не определён,kaggle_reviews
2,5.0,0.5,0.1,0.2,4.7,review,не определён,kaggle_reviews
4,12.5,0.5,0.16,0.18,4.38,review,не определён,kaggle_reviews
3,4.67,0.0,0.07,0.36,5.71,review,не определён,kaggle_reviews
1,11.0,0.0,0.27,0.27,4.09,review,не определён,kaggle_reviews
2,8.0,0.0,0.12,0.12,5.5,review,не определён,kaggle_reviews
2,6.0,0.0,0.0,0.33,4.75,review,не определён,kaggle_reviews
3,12.33,0.33,0.19,0.22,4.14,review,не определён,kaggle_reviews
1,12.0,0.0,0.17,0.33,4.42,review,не определён,kaggle_reviews
2,9.5,0.5,0.11,0.16,3.89,review,не определён,kaggle_reviews
1,15.0,1.0,0.07,0.27,4.0,review,не определён,kaggle_reviews
1,23.0,1.0,0.04,0.26,5.09,review,не определён,kaggle_reviews
6,7.5,0.17,0.09,0.29,4.36,review,не определён,kaggle_reviews
1,13.0,0.0,0.15,0.23,4.15,review,не определён,kaggle_reviews
3,17.33,1.0,0.15,0.27,4.25,review,не определён,kaggle_reviews
1,25.0,1.0,0.04,0.24,4.2,review,не определён,kaggle_reviews
1,14.0,1.0,0.0,0.29,3.93,review,не определён,kaggle_reviews
22,12.0,0.5,0.1,0.19,4.02,review,не определён,kaggle_reviews
7,8.0,0.0,0.09,0.25,3.96,review,не определён,kaggle_reviews
4,6.75,0.25,0.26,0.22,4.37,review,не определён,kaggle_reviews
1,40.0,1.0,0.07,0.23,4.65,review,не определён,kaggle_reviews
10,8.0,0.3,0.15,0.23,4.24,review,не определён,kaggle_reviews
1,15.0,1.0,0.2,0.2,3.93,review,не определён,kaggle_reviews
1,14.0,1.0,0.21,0.14,3.36,review,не определён,kaggle_reviews
1,16.0,1.0,0.19,0.19,3.69,review,не определён,kaggle_reviews
1,62.0,1.0,0.1,0.31,4.24,review,не определён,kaggle_reviews
5,7.8,0.4,0.13,0.28,3.9,review,не определён,kaggle_reviews
1,37.0,0.0,0.19,0.27,5.11,review,не определён,kaggle_reviews
1,8.0,0.0,0.25,0.25,5.5,review,не определён,kaggle_reviews
1,74.0,1.0,0.08,0.24,3.8,review,не определён,kaggle_reviews
7,12.0,0.57,0.11,0.29,4.56,review,не определён,kaggle_reviews
7,12.0,0.57,0.08,0.33,4.57,review,не определён,kaggle_reviews
1,18.0,0.0,0.17,0.28,4.56,review,не определён,kaggle_reviews
4,13.25,0.25,0.13,0.15,3.17,review,не определён,kaggle_reviews
1,12.0,1.0,0.25,0.08,4.17,review,не определён,kaggle_reviews
3,3.33,0.0,0.2,0.3,4.5,review,не определён,kaggle_reviews
2,6.5,0.0,0.23,0.23,4.0,review,не определён,kaggle_reviews
2,9.0,0.5,0.06,0.17,3.44,review,не определён,kaggle_reviews
1,10.0,0.0,0.2,0.3,5.1,review,не определён,kaggle_reviews
10,22.2,0.8,0.11,0.26,5.21,review,не определён,kaggle_reviews
8,13.5,0.75,0.06,0.18,4.23,review,не определён,kaggle_reviews
1,10.0,1.0,0.1,0.2,4.6,review,не определён,kaggle_reviews
6,4.0,0.0,0.0,0.21,3.83,review,не определён,kaggle_reviews
4,15.25,0.5,0.08,0.26,3.97,review,не определён,kaggle_reviews
1,8.0,1.0,0.12,0.12,5.75,review,не определён,kaggle_reviews
2,47.5,1.0,0.13,0.19,4.13,review,не определён,kaggle_reviews
13,19.23,0.62,0.09,0.26,4.72,review,не определён,kaggle_reviews
6,8.0,0.33,0.08,0.19,4.79,review,не определён,kaggle_reviews
1,11.0,0.0,0.0,0.18,3.91,review,не определён,kaggle_reviews
1,41.0,1.0,0.15,0.24,4.46,review,не определён,kaggle_reviews
1,34.0,1.0,0.18,0.21,4.38,review,не определён,kaggle_reviews
3,6.0,0.0,0.17,0.22,4.5,review,не определён,kaggle_reviews
3,5.67,0.0,0.12,0.18,4.59,review,не определён,kaggle_reviews
2,7.5,1.0,0.13,0.27,4.73,review,не определён,kaggle_reviews
1,21.0,0.0,0.14,0.19,4.43,review,не определён,kaggle_reviews
10,24.2,0.7,0.11,0.19,4.66,review,не определён,kaggle_reviews
20,11.25,0.65,0.08,0.21,4.2,review,не определён,kaggle_reviews
2,6.5,0.0,0.08,0.23,4.08,review,не определён,kaggle_reviews
8,10.62,0.38,0.04,0.24,4.33,review,не определён,kaggle_reviews
2,10.5,0.0,0.19,0.24,4.38,review,не определён,kaggle_reviews
1,10.0,0.0,0.1,0.2,5.7,review,не определён,kaggle_reviews
3,8.67,0.0,0.12,0.23,4.42,review,не определён,kaggle_reviews
10,15.2,0.5,0.1,0.28,4.65,review,не определён,kaggle_reviews
2,8.5,1.0,0.06,0.24,4.47,review,не определён,kaggle_reviews
1,11.0,0.0,0.18,0.36,5.45,review,не определён,kaggle_reviews
9,15.0,0.89,0.09,0.22,4.43,review,не определён,kaggle_reviews
1,9.0,0.0,0.33,0.22,5.56,review,не определён,kaggle_reviews
4,11.0,0.5,0.09,0.2,3.73,review,не определён,kaggle_reviews
6,10.67,0.17,0.11,0.22,4.0,review,не определён,kaggle_reviews
1,34.0,1.0,0.15,0.15,4.76,review,не определён,kaggle_reviews
1,33.0,1.0,0.09,0.15,4.39,review,не определён,kaggle_reviews
6,11.17,0.5,0.09,0.19,4.28,review,не определён,kaggle_reviews
2,7.5,0.5,0.13,0.2,4.4,review,не определён,kaggle_reviews
1,23.0,1.0,0.22,0.22,4.13,review,не определён,kaggle_reviews
1,26.0,1.0,0.27,0.23,4.42,review,не определён,kaggle_reviews
1,25.0,0.0,0.16,0.24,4.8,review,не определён,kaggle_reviews
1,20.0,0.0,0.0,0.0,3.5,review,не определён,kaggle_reviews
1,12.0,1.0,0.17,0.25,5.33,review,не определён,kaggle_reviews
15,18.4,0.73,0.12,0.23,4.44,review,не определён,kaggle_reviews
5,6.0,0.0,0.2,0.13,4.57,review,не определён,kaggle_reviews
1,12.0,0.0,0.08,0.25,3.92,review,не определён,kaggle_reviews
1,22.0,0.0,0.23,0.09,4.18,review,не определён,kaggle_reviews
1,27.0,1.0,0.19,0.22,4.22,review,не определён,kaggle_reviews
2,9.5,0.5,0.05,0.21,3.79,review,не определён,kaggle_reviews
1,12.0,0.0,0.08,0.17,4.0,review,не определён,kaggle_reviews
7,9.0,0.43,0.21,0.14,4.13,review,не определён,kaggle_reviews
2,14.0,0.5,0.11,0.21,4.25,review,не определён,kaggle_reviews
11,17.64,0.73,0.1,0.24,4.79,review,не определён,kaggle_reviews
7,5.57,0.29,0.18,0.26,5.05,review,не определён,kaggle_reviews
1,15.0,0.0,0.13,0.27,5.73,review,не определён,kaggle_reviews
5,30.4,0.8,0.07,0.17,4.12,review,не определён,kaggle_reviews
1,10.0,0.0,0.1,0.3,5.7,review,не определён,kaggle_reviews
4,28.75,0.75,0.11,0.18,4.37,review,не определён,kaggle_reviews
8,8.5,0.5,0.13,0.19,4.72,review,не определён,kaggle_reviews
1,8.0,0.0,0.12,0.38,6.38,review,не определён,kaggle_reviews
1,9.0,0.0,0.22,0.22,5.67,review,не определён,kaggle_reviews
4,19.75,0.5,0.14,0.23,4.35,review,не определён,kaggle_reviews
2,7.0,0.0,0.07,0.43,5.0,review,не определён,kaggle_reviews
3,12.67,0.67,0.18,0.21,4.63,review,не определён,kaggle_reviews
2,13.0,0.0,0.08,0.31,4.04,review,не определён,kaggle_reviews
2,14.5,0.5,0.21,0.28,4.48,review,не определён,kaggle_reviews
1,46.0,1.0,0.09,0.28,3.67,review,не определён,kaggle_reviews
2,23.0,0.5,0.11,0.24,4.85,review,не определён,kaggle_reviews
4,11.25,0.25,0.07,0.22,4.42,review,не определён,kaggle_reviews
4,3.75,0.0,0.13,0.27,5.47,review,не определён,kaggle_reviews
4,6.5,0.25,0.15,0.19,4.27,review,не определён,kaggle_reviews
5,4.2,0.0,0.1,0.24,4.48,review,не определён,kaggle_reviews
1,45.0,1.0,0.13,0.27,4.87,review,не определён,kaggle_reviews
1,34.0,1.0,0.18,0.18,3.59,review,не определён,kaggle_reviews
4,6.75,0.0,0.11,0.22,4.81,review,не определён,kaggle_reviews
2,10.0,0.5,0.15,0.25,5.05,review,не определён,kaggle_reviews
1,14.0,1.0,0.21,0.07,3.71,review,не определён,kaggle_reviews
